"sa","cluster","suburb","weekend","shopping","centre","rms_err"
"165100",0.0,0.836294808854332,0.02512459012797009,0.8135386440933068,0.0,0.9139174617669533
"165200",1.0,1.9607437391869347,0.257021416644738,0.5328293949440728,0.5918719421702818,0.15458537693098662
"165300",0.0,7.4128669449025795,0.7815125519162702,2.1020129603123174,5.228510920394051,0.4157271400575081
"165400",1.0,2.1835325944580233,0.0,0.5196904696182563,0.7247264323298448,0.2280210508351769
"165500",1.0,3.9307381832613073,0.42188994257641066,0.89503094252559,2.3385017617195683,0.2045088069610975
"165600",1.0,2.630073387356078,0.032444344572146455,0.7019245486113542,1.0547586871327812,0.28766670255812987
"165700",0.0,7.677050798028763,1.0386151107444015,2.5904859406036977,6.179164576817064,0.45698651895342024
"165800",0.0,4.020149942580554,0.128618477806842,1.0731367066749893,2.2169370205523604,0.31457701782365866
"165900",0.0,5.252231496368971,0.3661344367823762,0.9978347370212407,3.6289038255325847,0.2740007356561296
"166000",2.0,0.7848164921798347,0.2247606585308669,0.4796788495603691,1.4835030310535589,0.1515901433179884
"166100",0.0,8.376902910919764,0.8820949354296682,2.4581202110581772,6.926667109996141,0.5561890222858157
"166200",0.0,1.4043047346262458,0.23934452104579587,1.10938097155008,0.0,0.6191584167462176
"166300",0.0,1.519321594656579,0.2542322562223918,0.9941977932872037,0.0,0.434680530986233
"166400",1.0,1.2570968181751372,0.06496148070693741,0.2804901145270418,0.0,0.11074640072151037
"166500",3.0,0.0,1.1170958833533,0.057274668320499635,0.1896560823359662,0.16087276253700072
"166600",0.0,0.0,1.162747473230355,0.0,0.35182585573867464,0.22103714028338703
"166700",3.0,0.596510963822401,1.2036314409500761,0.12713878232911965,0.6945409348913617,0.1242022725987751
"166800",0.0,2.5318453247331307,1.2794215996447045,0.0,2.4216784156694597,0.3576215691714878
"166900",3.0,0.3709114620089807,1.1507473742639527,0.0,0.47151525893420076,0.14390982298940483
"167000",3.0,2.13880467647529,1.5112002517185876,0.0,2.39628019247725,0.22432356269045084
"167100",0.0,3.621993594561742,1.7223869722233711,0.07201513713095231,3.8996684160777115,0.3061921186476267
"167200",0.0,0.3803019977420908,0.9021611201295227,0.4244267985685186,0.0,0.2901829970587981
"167300",3.0,1.4319831733094772,1.3362066626690077,0.0,1.5596424260921606,0.20690516518180277
"167400",3.0,0.0,1.0968753662068205,0.20853692994989073,0.1859625331269243,0.15834573192309281
"167500",0.0,0.2506190206291793,0.5850948704241451,0.77466732478054,0.0,0.6266395996513883
"167600",0.0,0.024125907599016675,0.25817618188630054,0.6750506427830267,0.4520106624949891,0.25433866330001653
"167700",2.0,0.35759803911731025,0.23847253197423582,0.2717443607054117,1.2450613836627162,0.1859149226725095
"167800",0.0,0.9685584706760816,0.5886925798063697,0.34438229074441384,1.8444068663354303,0.3511878537950883
"167900",0.0,0.0,0.9314781171573366,0.44853372147034126,0.16464992647978333,0.3709882437184142
"168000",0.0,0.0,0.38846579605575154,0.2425295005789314,0.9015443409274113,0.3204259998057578
"168100",3.0,0.6129389272081204,1.19009872490096,0.0,0.7082722479088368,0.15453008083721734
"168200",3.0,0.093960758534963,1.15591461408841,0.0,0.3332561396009932,0.16419941726167012
"168300",0.0,0.8723610404105787,0.5240876950001745,0.5568617246536334,0.0,0.5732217724474817
"168400",3.0,0.32905022537712897,1.1169268535907575,0.0,0.3760630147971449,0.1337028166703291
"168500",3.0,0.7572417245522634,1.2825424924842992,0.0,0.9801169733311055,0.1168086682901148
"168600",0.0,0.6547127509368745,0.8286075839368112,0.6785597566296904,0.0,0.2366812319910045
"168700",0.0,0.482402277524959,0.49243523766976327,1.047543795800821,0.0,0.5678520981382758
"168800",0.0,1.2175205163601515,0.3489373205880001,1.2899976979529402,0.0,0.6045871884056023
"168900",0.0,1.7518991921563498,0.24702684461514218,0.40510197161598166,2.404179568377721,0.46435361358248556
"169000",0.0,0.38134881120474967,0.5684549508954194,0.48734322295282645,0.0,0.7579338456018512
"169100",0.0,0.3766696458087328,0.5070964094135672,0.9937821901890189,0.0,0.5557404496576179
"169200",0.0,1.0992650897520955,0.4083419961233282,0.625933673819149,1.6279066717855541,0.4145123085944695
"169300",0.0,0.022496150606138573,0.9361317004981131,0.5179038108746352,0.0,0.2614090974714507
"169400",0.0,7.048089265871903,1.1131566578544463,0.9852852476280721,7.127501105635513,0.6469738299093758
"169500",1.0,3.019285040307681,0.24313107670582146,0.20160820698128132,1.9652411345801015,0.21314064657785642
"169600",0.0,2.259201007883569,0.586869979014658,0.631787183764541,2.911805168450844,0.3222105814517808
"169700",1.0,1.078941783291264,0.17102232654362193,0.14999984576407546,0.0,0.2023535529494654
"169800",0.0,0.7416517224953609,0.41302236638393364,1.0749981269219677,0.0,0.6777688002951621
"169900",0.0,1.507452918886664,0.17544515885794082,0.8013091456322275,0.0,0.37090029152225334
"170000",1.0,3.6220099227075364,0.41598335869222447,0.4931094030126019,2.356934793580617,0.15306095675903966
"170100",1.0,1.2974937672498252,0.18853075063008398,0.43445256849738584,0.0,0.20085108055752918
"170200",0.0,0.8741451720188305,0.4092972022244905,1.045980231574472,0.0,0.693326912123741
"170300",1.0,4.091876506461134,0.5573876794872251,0.47932108546715857,2.9240536026309494,0.21138963617257825
"170400",3.0,0.9364527744454368,0.7736944399125305,0.3075035610893576,0.23883993138985027,0.1953305139895451
"170500",0.0,0.9252250690718514,0.24885571950138338,0.5519177445423152,0.0,0.769827831302732
"170600",0.0,0.908375832720596,0.5712348839096693,0.9029386961630231,0.0,0.5553110177733362
"170700",0.0,0.78522254447139,0.5649368947090408,1.0476449558197096,0.0,0.5554809112913346
